req_id,measurer,measurement,pos,t_start,t_end,t_corr,t_img,u_max,u_exp,u
2e96ec92,thm_1,thermal,"[406.402957876742, -4426.166406887766, 4574.33167093784]",0.0,86400.0,86400.0,4670.0,1.0,0.3333333333333333,0.1051054526748971
2ea61dde,sar_1,sar,"[92.8222404535489, 2374.588584819626, 5918.896497312586]",0.0,86400.0,86400.0,4680.0,1.0,0.3333333333333333,0.10509259259259258
2e96b5a6,thm_1,thermal,"[615.1169652280626, -4623.984611421844, 4349.829892513073]",0.0,86400.0,86400.0,4730.0,1.0,0.3333333333333333,0.10502829218106996
2e97c7d4,thm_1,thermal,"[898.8023036626363, -4584.657516159214, 4342.08389368898]",0.0,86400.0,86400.0,4750.0,1.0,0.3333333333333333,0.1050025720164609
2ea05d9a,img_1,visible,"[-324.55826951299105, -4107.041814579687, 4869.034003204581]",0.0,86400.0,86400.0,4790.0,1.0,0.3333333333333333,0.1049511316872428
2e9da6cc,img_1,visible,"[122.6874676565995, -4156.697815105328, 4836.055595271449]",0.0,86400.0,86400.0,4820.0,1.0,0.3333333333333333,0.10491255144032921
2ea5f322,sar_1,sar,"[-1105.7326004745603, 2672.4975525235704, 5684.693035633585]",0.0,86400.0,86400.0,4870.0,1.0,0.3333333333333333,0.10484825102880659
2ea22076,img_1,visible,"[818.7321547956418, -3678.3130987807463, 5145.902551294512]",0.0,86400.0,86400.0,4950.0,1.0,0.3333333333333333,0.10474537037037036
2ea0e850,img_1,visible,"[831.8868848750332, -2520.5760461900536, 5799.593370877265]",0.0,86400.0,86400.0,5110.0,1.0,0.3333333333333333,0.10453960905349793
2e9abe26,sar_0,sar,"[6339.582837425502, 6.67719246008391, 700.1910624240797]",0.0,86400.0,86400.0,5340.0,1.0,0.3333333333333333,0.10424382716049382
2e9f2d4e,thm_1,thermal,"[2869.2733010536135, -5630.759849797756, 861.6477813724903]",0.0,86400.0,86400.0,5400.0,1.0,0.3333333333333333,0.10416666666666666
2ea4e7b6,thm_1,thermal,"[3237.5319665266056, -5491.229894590414, -213.08137378151363]",0.0,86400.0,86400.0,5570.0,1.0,0.3333333333333333,0.1039480452674897
2ea69c78,img_1,visible,"[3647.4643961640245, 2402.586689221201, 4648.032200928755]",0.0,86400.0,86400.0,6020.0,1.0,0.3333333333333333,0.103369341563786
2e9eacac,thm_1,thermal,"[3277.8176032855913, -4291.577384423206, -3393.9502021208355]",0.0,86400.0,86400.0,6100.0,1.0,0.3333333333333333,0.1032664609053498
2e98ba7c,sar_0,sar,"[2736.5225342760405, 1646.4048317042023, 5520.997936145076]",0.0,86400.0,86400.0,6300.0,1.0,0.3333333333333333,0.10300925925925926
2e9919c2,sar_0,sar,"[2565.1049027893, 1740.7222025433125, 5574.113894838959]",0.0,86400.0,86400.0,6330.0,1.0,0.3333333333333333,0.10297067901234566
2e9e8222,sar_0,sar,"[2630.174015858927, 2107.32041059329, 5414.979962546043]",0.0,86400.0,86400.0,6340.0,1.0,0.3333333333333333,0.10295781893004115
2e99d7ae,thm_0,thermal,"[-1198.1385881205426, -3088.9038212981127, 5450.11557380246]",0.0,86400.0,86400.0,6390.0,1.0,0.3333333333333333,0.10289351851851852
2ea514fc,thm_0,thermal,"[-729.3680464732022, -3221.369315378822, 5456.319698120459]",0.0,86400.0,86400.0,6440.0,1.0,0.3333333333333333,0.10282921810699587
2e9b9cd8,thm_0,thermal,"[-806.4602737939349, -3452.0151021493853, 5302.248223414524]",0.0,86400.0,86400.0,6470.0,1.0,0.3333333333333333,0.1027906378600823
2ea3593c,thm_0,thermal,"[-617.3455133490522, -3774.054347530024, 5104.5098648562935]",0.0,86400.0,86400.0,6530.0,1.0,0.3333333333333333,0.10271347736625515
2e9d7742,thm_0,thermal,"[-601.3874084163037, -3916.925513578675, 4997.66449128515]",0.0,86400.0,86400.0,6560.0,1.0,0.3333333333333333,0.10267489711934155
2ea05d9a,thm_0,thermal,"[-324.55826951299105, -4107.041814579687, 4869.034003204581]",0.0,86400.0,86400.0,6610.0,1.0,0.3333333333333333,0.10261059670781893
2e9c955c,img_0,visible,"[-660.1806065812408, -3881.037609803973, 5018.200005914349]",0.0,86400.0,86400.0,6800.0,1.0,0.3333333333333333,0.10236625514403291
